season,giornata
2022,1
2022,2
2022,3
2022,4
2022,5
2022,6
2022,7
2022,8
2022,9
2022,10
2022,11
2022,12
2022,13
2022,14
2022,15
2022,16
2022,17
2022,18
2022,19
2022,20
2022,21
2022,22
2022,23
2022,24
2022,25
2022,26
2022,27
2022,28
2022,29
2022,30
2022,31
2022,32
2022,33
2022,34
2022,35
2022,36
2022,37
2022,38
2023,1
2023,2
2023,3
2023,4
2023,5
2023,6
2023,7
2023,8
2023,9
2023,10
2023,11
2023,12
2023,13
2023,14
2023,15
2023,16
2023,17
2023,18
2023,19
2023,20
2023,21
2023,22
2023,23
2023,24
2023,25
2023,26
2023,27
2023,28
2023,29
2023,30
2023,31
2023,32
2023,33
2023,34
2023,35
2023,36
2023,37
2023,38
2024,1
2024,2
2024,3
2024,4
2024,5
2024,6
2024,7
2024,8
2024,9
2024,10
2024,11
2024,12
2024,13
2024,14
2024,15
2024,16
2024,17
2024,18
2024,19
2024,20
2024,21
2024,22
2024,23
2024,24
2024,25
2024,26
2024,27
2024,28
2024,29
2024,30
2024,31
2024,32
2024,33
2024,34
2024,35
2024,36
2024,37
2024,38
