,Squadra,Giocatori in Rosa,Età Media,Stranieri,Valore Rosa,Stagione
0,SSC Napoli,31,"26,7",20,654080000.0,2022
1,FC Internazionale Milano,35,"26,9",22,567550000.0,2022
2,AC Milan,36,"26,4",27,545100000.0,2022
3,Juventus FC,40,"25,9",19,483130000.0,2022
4,AS Roma,47,"24,2",27,361380000.0,2022
5,Atalanta BC,38,"24,9",20,338380000.0,2022
6,SS Lazio,33,"26,5",20,266430000.0,2022
7,ACF Fiorentina,38,"25,6",18,258800000.0,2022
8,US Sassuolo Calcio,35,"25,4",19,232200000.0,2022
9,Torino FC,38,"24,3",29,197190000.0,2022
10,Udinese Calcio,38,"25,3",28,188860000.0,2022
11,Bologna FC 1909,38,"25,3",22,153630000.0,2022
12,AC Monza,41,"26,6",12,135700000.0,2022
13,Empoli FC,44,"24,8",19,125530000.0,2022
14,Hellas Verona FC,46,"25,2",26,123890000.0,2022
15,US Salernitana 1919,45,"26,9",27,118350000.0,2022
16,Spezia Calcio,48,"24,9",34,115810000.0,2022
17,US Lecce,39,"25,1",23,105200000.0,2022
18,US Cremonese,42,"26,2",19,83780000.0,2022
19,UC Sampdoria,48,"26,4",26,82960000.0,2022
20,FC Internazionale Milano,35,"27,1",23,654850000.0,2023
21,AC Milan,42,"24,6",26,571410000.0,2023
22,SSC Napoli,35,"26,5",22,515000000.0,2023
23,Juventus FC,39,"25,2",19,504530000.0,2023
24,Atalanta BC,42,"25,2",21,436050000.0,2023
25,Bologna FC 1909,37,"25,1",26,349300000.0,2023
26,AS Roma,41,"25,2",24,340400000.0,2023
27,ACF Fiorentina,41,"25,7",21,284100000.0,2023
28,Torino FC,45,"24,3",33,232730000.0,2023
29,SS Lazio,37,"26,4",20,225450000.0,2023
30,Genoa CFC,44,"25,9",29,195400000.0,2023
31,Udinese Calcio,45,"24,7",36,170060000.0,2023
32,AC Monza,39,"26,6",13,143430000.0,2023
33,Hellas Verona FC,50,"25,1",32,140700000.0,2023
34,US Sassuolo Calcio,38,"25,5",21,139540000.0,2023
35,Frosinone Calcio,45,"25,3",25,108130000.0,2023
36,US Lecce,39,"24,6",30,107730000.0,2023
37,Empoli FC,47,"25,3",20,102330000.0,2023
38,US Salernitana 1919,50,"25,6",31,94600000.0,2023
39,Cagliari Calcio,38,"27,0",19,92230000.0,2023
40,FC Internazionale Milano,26,"29,3",19,675300000.0,2024
41,Juventus FC,26,"25,8",18,615200000.0,2024
42,AC Milan,26,"26,1",19,533000000.0,2024
43,Atalanta BC,25,"27,5",13,477600000.0,2024
44,SSC Napoli,25,"27,6",13,431050000.0,2024
45,AS Roma,26,"26,4",19,287500000.0,2024
46,ACF Fiorentina,27,"26,1",14,283800000.0,2024
47,Bologna FC 1909,32,"25,4",23,273700000.0,2024
48,SS Lazio,29,"26,8",19,271100000.0,2024
49,Torino FC,29,"26,2",25,164500000.0,2024
50,Udinese Calcio,34,"25,6",30,145800000.0,2024
51,Genoa CFC,33,"26,1",17,144600000.0,2024
52,Parma Calcio 1913,29,"24,9",23,135650000.0,2024
53,Como 1907,34,"27,2",18,100800000.0,2024
54,US Lecce,37,"24,7",31,97050000.0,2024
55,Hellas Verona FC,33,"25,1",24,90180000.0,2024
56,AC Monza,29,"28,0",9,85780000.0,2024
57,Empoli FC,28,"25,5",15,80600000.0,2024
58,Cagliari Calcio,27,"27,6",14,70200000.0,2024
59,Venezia FC,29,"25,6",20,65900000.00000001,2024
