,Name,Role,Market Value,Squadra,Season
0,Alex Meret,Portiere,18000000.0,SSC Napoli,2022
1,Pierluigi Gollini,Portiere,4500000.0,SSC Napoli,2022
2,Salvatore Sirigu,Portiere,500000.0,SSC Napoli,2022
3,Hubert Idasiak,Portiere,150000.0,SSC Napoli,2022
4,Valerio Boffelli,Portiere,75000.0,SSC Napoli,2022
5,Davide Marfella,Portiere,50000.0,SSC Napoli,2022
6,Min-jae Kim,Difensore centrale,60000000.0,SSC Napoli,2022
7,Amir Rrahmani,Difensore centrale,25000000.0,SSC Napoli,2022
8,Leo Østigård,Difensore centrale,7000000.0,SSC Napoli,2022
9,Juan Jesus,Difensore centrale,3500000.0,SSC Napoli,2022
10,Mathías Olivera,Terzino sinistro,18000000.0,SSC Napoli,2022
11,Mário Rui,Terzino sinistro,8000000.0,SSC Napoli,2022
12,Giovanni Di Lorenzo,Terzino destro,25000000.0,SSC Napoli,2022
13,Alessandro Zanoli,Terzino destro,6000000.0,SSC Napoli,2022
14,Bartosz Bereszyński,Terzino destro,1600000.0,SSC Napoli,2022
15,Stanislav Lobotka,Mediano,40000000.0,SSC Napoli,2022
16,Diego Demme,Mediano,3000000.0,SSC Napoli,2022
17,Frank Anguissa,Centrale,40000000.0,SSC Napoli,2022
18,Piotr Zieliński,Centrale,35000000.0,SSC Napoli,2022
19,Tanguy Ndombélé,Centrale,22000000.0,SSC Napoli,2022
20,Karim Zedadka,Centrocampista di sinistra,200000.0,SSC Napoli,2022
21,Eljif Elmas,Trequartista,26000000.0,SSC Napoli,2022
22,Gianluca Gaetano,Trequartista,4500000.0,SSC Napoli,2022
23,Khvicha Kvaratskhelia,Ala sinistra,85000000.0,SSC Napoli,2022
24,Hirving Lozano,Ala sinistra,25000000.0,SSC Napoli,2022
25,Alessio Zerbin,Ala sinistra,4000000.0,SSC Napoli,2022
26,Matteo Politano,Ala destra,15000000.0,SSC Napoli,2022
27,Adam Ounas,Ala destra,7000000.0,SSC Napoli,2022
28,Giacomo Raspadori,Seconda punta,35000000.0,SSC Napoli,2022
29,Victor Osimhen,Punta centrale,120000000.0,SSC Napoli,2022
30,Giovanni Simeone,Punta centrale,15000000.0,SSC Napoli,2022
31,André Onana,Portiere,35000000.0,FC Internazionale Milano,2022
32,Samir Handanovič,Portiere,500000.0,FC Internazionale Milano,2022
33,Gabriel Brazão,Portiere,400000.0,FC Internazionale Milano,2022
34,Alex Cordaz,Portiere,200000.0,FC Internazionale Milano,2022
35,Nikolaos Botis,Portiere,100000.0,FC Internazionale Milano,2022
36,Alessandro Bastoni,Difensore centrale,60000000.0,FC Internazionale Milano,2022
37,Milan Skriniar,Difensore centrale,50000000.0,FC Internazionale Milano,2022
38,Stefan de Vrij,Difensore centrale,8000000.0,FC Internazionale Milano,2022
39,Francesco Acerbi,Difensore centrale,4000000.0,FC Internazionale Milano,2022
40,Danilo D'Ambrosio,Difensore centrale,1500000.0,FC Internazionale Milano,2022
41,Alessandro Fontanarosa,Difensore centrale,400000.0,FC Internazionale Milano,2022
42,Federico Dimarco,Terzino sinistro,35000000.0,FC Internazionale Milano,2022
