,anno,giornata,Home Team,Away Team,scorer,numero_goal_partita,team_goal,goal,goal_home,goal_away,assist
0,2022,1,Hellas Verona FC,SSC Napoli,Kevin Lasagna,1.0,home,1:0,1.0,0.0,Koray Günter
1,2022,1,Hellas Verona FC,SSC Napoli,Khvicha Kvaratskhelia,2.0,away,1:1,1.0,1.0,Hirving Lozano
2,2022,1,Hellas Verona FC,SSC Napoli,Victor Osimhen,3.0,away,1:2,1.0,2.0,Giovanni Di Lorenzo
3,2022,1,Hellas Verona FC,SSC Napoli,Thomas Henry,4.0,home,2:2,2.0,2.0,Davide Faraoni
4,2022,1,Hellas Verona FC,SSC Napoli,Piotr Zieliński,5.0,away,2:3,2.0,3.0,Khvicha Kvaratskhelia
5,2022,1,Hellas Verona FC,SSC Napoli,Stanislav Lobotka,6.0,away,2:4,2.0,4.0,Mário Rui
6,2022,1,Hellas Verona FC,SSC Napoli,Matteo Politano,7.0,away,2:5,2.0,5.0,Victor Osimhen
7,2022,2,SSC Napoli,AC Monza,Khvicha Kvaratskhelia,1.0,home,1:0,1.0,0.0,Piotr Zieliński
8,2022,2,SSC Napoli,AC Monza,Victor Osimhen,2.0,home,2:0,2.0,0.0,Frank Anguissa
9,2022,2,SSC Napoli,AC Monza,Khvicha Kvaratskhelia,3.0,home,3:0,3.0,0.0,Stanislav Lobotka
10,2022,2,SSC Napoli,AC Monza,Min-jae Kim,4.0,home,4:0,4.0,0.0,Piotr Zieliński
11,2022,3,ACF Fiorentina,SSC Napoli,,,,,,,
12,2022,4,SSC Napoli,US Lecce,Eljif Elmas,1.0,home,1:0,1.0,0.0,Matteo Politano
13,2022,4,SSC Napoli,US Lecce,Lorenzo Colombo,2.0,away,1:1,1.0,1.0,Morten Hjulmand
14,2022,5,SS Lazio,SSC Napoli,Mattia Zaccagni,1.0,home,1:0,1.0,0.0,Felipe Anderson
15,2022,5,SS Lazio,SSC Napoli,Min-jae Kim,2.0,away,1:1,1.0,1.0,Piotr Zieliński
16,2022,5,SS Lazio,SSC Napoli,Khvicha Kvaratskhelia,3.0,away,1:2,1.0,2.0,Frank Anguissa
17,2022,6,SSC Napoli,Spezia Calcio,Giacomo Raspadori,1.0,home,1:0,1.0,0.0,Gianluca Gaetano
18,2022,7,AC Milan,SSC Napoli,Matteo Politano,1.0,away,0:1,0.0,1.0,Khvicha Kvaratskhelia
19,2022,7,AC Milan,SSC Napoli,Olivier Giroud,2.0,home,1:1,1.0,1.0,Theo Hernández
20,2022,7,AC Milan,SSC Napoli,Giovanni Simeone,3.0,away,1:2,1.0,2.0,Mário Rui
21,2022,8,SSC Napoli,Torino FC,Frank Anguissa,1.0,home,1:0,1.0,0.0,Mário Rui
22,2022,8,SSC Napoli,Torino FC,Frank Anguissa,2.0,home,2:0,2.0,0.0,Matteo Politano
23,2022,8,SSC Napoli,Torino FC,Khvicha Kvaratskhelia,3.0,home,3:0,3.0,0.0,Piotr Zieliński
24,2022,8,SSC Napoli,Torino FC,Antonio Sanabria,4.0,away,3:1,3.0,1.0,Senza assist
25,2022,9,US Cremonese,SSC Napoli,Matteo Politano,1.0,away,0:1,0.0,1.0,Khvicha Kvaratskhelia
26,2022,9,US Cremonese,SSC Napoli,Cyriel Dessers,2.0,home,1:1,1.0,1.0,Senza assist
27,2022,9,US Cremonese,SSC Napoli,Giovanni Simeone,3.0,away,1:2,1.0,2.0,Mário Rui
28,2022,9,US Cremonese,SSC Napoli,Hirving Lozano,4.0,away,1:3,1.0,3.0,Khvicha Kvaratskhelia
29,2022,9,US Cremonese,SSC Napoli,Mathías Olivera,5.0,away,1:4,1.0,4.0,Giovanni Di Lorenzo
30,2022,10,SSC Napoli,Bologna FC 1909,Joshua Zirkzee,1.0,away,0:1,0.0,1.0,Andrea Cambiaso
31,2022,10,SSC Napoli,Bologna FC 1909,Juan Jesus,2.0,home,1:1,1.0,1.0,Senza assist
32,2022,10,SSC Napoli,Bologna FC 1909,Hirving Lozano,3.0,home,2:1,2.0,1.0,Senza assist
33,2022,10,SSC Napoli,Bologna FC 1909,Musa Barrow,4.0,away,2:2,2.0,2.0,Andrea Cambiaso
34,2022,10,SSC Napoli,Bologna FC 1909,Victor Osimhen,5.0,home,3:2,3.0,2.0,Khvicha Kvaratskhelia
35,2022,11,AS Roma,SSC Napoli,Victor Osimhen,1.0,away,0:1,0.0,1.0,Matteo Politano
36,2022,12,SSC Napoli,US Sassuolo Calcio,Victor Osimhen,1.0,home,1:0,1.0,0.0,Khvicha Kvaratskhelia
37,2022,12,SSC Napoli,US Sassuolo Calcio,Victor Osimhen,2.0,home,2:0,2.0,0.0,Khvicha Kvaratskhelia
38,2022,12,SSC Napoli,US Sassuolo Calcio,Khvicha Kvaratskhelia,3.0,home,3:0,3.0,0.0,Mário Rui
39,2022,12,SSC Napoli,US Sassuolo Calcio,Victor Osimhen,4.0,home,4:0,4.0,0.0,Senza assist
40,2022,13,Atalanta BC,SSC Napoli,Ademola Lookman,1.0,home,1:0,1.0,0.0,Rigore: mani diVictor Osimhen
41,2022,13,Atalanta BC,SSC Napoli,Victor Osimhen,2.0,away,1:1,1.0,1.0,Piotr Zieliński
42,2022,13,Atalanta BC,SSC Napoli,Eljif Elmas,3.0,away,1:2,1.0,2.0,Victor Osimhen
43,2022,14,SSC Napoli,Empoli FC,Hirving Lozano,1.0,home,1:0,1.0,0.0,Victor Osimhen
44,2022,14,SSC Napoli,Empoli FC,Piotr Zieliński,2.0,home,2:0,2.0,0.0,Hirving Lozano
45,2022,15,SSC Napoli,Udinese Calcio,Victor Osimhen,1.0,home,1:0,1.0,0.0,Eljif Elmas
46,2022,15,SSC Napoli,Udinese Calcio,Piotr Zieliński,2.0,home,2:0,2.0,0.0,Hirving Lozano
47,2022,15,SSC Napoli,Udinese Calcio,Eljif Elmas,3.0,home,3:0,3.0,0.0,Frank Anguissa
48,2022,15,SSC Napoli,Udinese Calcio,Ilija Nestorovski,4.0,away,3:1,3.0,1.0,Isaac Success
49,2022,15,SSC Napoli,Udinese Calcio,Lazar Samardžić,5.0,away,3:2,3.0,2.0,Senza assist
50,2022,16,FC Internazionale Milano,SSC Napoli,Edin Dzeko,1.0,home,1:0,1.0,0.0,Federico Dimarco
51,2022,17,UC Sampdoria,SSC Napoli,Victor Osimhen,1.0,away,0:1,0.0,1.0,Mário Rui
52,2022,17,UC Sampdoria,SSC Napoli,Eljif Elmas,2.0,away,0:2,0.0,2.0,Rigore: mani diRonaldo Vieira
53,2022,18,SSC Napoli,Juventus FC,Victor Osimhen,1.0,home,1:0,1.0,0.0,
54,2022,18,SSC Napoli,Juventus FC,Khvicha Kvaratskhelia,2.0,home,2:0,2.0,0.0,Victor Osimhen
55,2022,18,SSC Napoli,Juventus FC,Ángel Di María,3.0,away,2:1,2.0,1.0,Arkadiusz Milik
56,2022,18,SSC Napoli,Juventus FC,Amir Rrahmani,4.0,home,3:1,3.0,1.0,Khvicha Kvaratskhelia
57,2022,18,SSC Napoli,Juventus FC,Victor Osimhen,5.0,home,4:1,4.0,1.0,Khvicha Kvaratskhelia
58,2022,18,SSC Napoli,Juventus FC,Eljif Elmas,6.0,home,5:1,5.0,1.0,Giovanni Di Lorenzo
59,2022,19,US Salernitana 1919,SSC Napoli,Giovanni Di Lorenzo,1.0,away,0:1,0.0,1.0,Frank Anguissa
60,2022,19,US Salernitana 1919,SSC Napoli,Victor Osimhen,2.0,away,0:2,0.0,2.0,Senza assist
61,2022,20,SSC Napoli,AS Roma,Victor Osimhen,1.0,home,1:0,1.0,0.0,Khvicha Kvaratskhelia
62,2022,20,SSC Napoli,AS Roma,Stephan El Shaarawy,2.0,away,1:1,1.0,1.0,Nicola Zalewski
63,2022,20,SSC Napoli,AS Roma,Giovanni Simeone,3.0,home,2:1,2.0,1.0,Piotr Zieliński
64,2022,21,Spezia Calcio,SSC Napoli,Khvicha Kvaratskhelia,1.0,away,0:1,0.0,1.0,Rigore: mani diArkadiusz Reca
65,2022,21,Spezia Calcio,SSC Napoli,Victor Osimhen,2.0,away,0:2,0.0,2.0,Senza assist
