season;hours;home_team;away_team;risultato;quota_1;quota_x;quota_2
2024;20:45;Atalanta;Parma;2-3;1.84;3.67;4.07
2024;20:45;Empoli;Verona;1-2;1.93;2.93;4.95
2024;20:45;Lazio;Lecce;0-1;1.43;4.40;7.46
2024;20:45;Torino;Roma;0-2;5.45;4.29;1.55
2024;20:45;Udinese;Fiorentina;2-3;3.00;3.32;2.35
2024;20:45;Venezia;Juventus;2-3;6.41;4.69;1.45
2024;20:45;Milan;Monza;2-0;1.24;6.70;10.23
2024;18:00;Bologna;Genoa;1-3;1.48;4.23;6.76
2024;20:45;Como;Inter;0-2;4.32;4.04;1.73
2024;20:45;Napoli;Cagliari;2-0;1.18;7.19;14.17
2024;20:45;Roma;Milan;3-1;2.15;3.52;3.22
2024;20:45;Cagliari;Venezia;3-0;2.72;2.89;2.88
2024;20:45;Fiorentina;Bologna;3-2;2.97;3.02;2.54
2024;20:45;Inter;Lazio;2-2;1.65;3.96;4.99
2024;20:45;Juventus;Udinese;2-0;1.38;4.76;8.13
2024;20:45;Lecce;Torino;1-0;2.04;3.09;4.00
2024;20:45;Monza;Empoli;1-3;5.09;3.50;1.73
2024;20:45;Parma;Napoli;0-0;7.02;4.30;1.46
2024;20:45;Verona;Como;1-1;3.25;3.03;2.36
2024;20:45;Genoa;Atalanta;2-3;3.24;3.30;2.23
2024;20:45;Atalanta;Roma;2-1;2.01;3.43;3.68
2024;18:30;Venezia;Fiorentina;2-1;2.68;3.06;2.80
2024;20:45;Napoli;Genoa;2-2;1.28;5.29;11.33
2024;18:00;Torino;Inter;0-2;5.13;3.65;1.70
2024;15:00;Verona;Lecce;1-1;2.47;2.79;3.35
2024;12:30;Udinese;Monza;1-2;1.59;3.97;5.62
2024;20:45;Empoli;Parma;2-1;2.31;3.02;3.39
2024;18:00;Lazio;Juventus;1-1;2.36;3.04;3.22
2024;15:00;Como;Cagliari;3-1;1.75;3.71;4.54
2024;20:45;Milan;Bologna;3-1;2.22;3.33;3.22
2024;20:45;Genoa;Milan;1-2;4.72;3.73;1.73
2024;20:45;Bologna;Juventus;1-1;2.35;2.92;3.41
2024;18:00;Roma;Fiorentina;1-0;1.74;3.59;4.85
2024;15:00;Monza;Atalanta;0-4;12.33;6.77;1.20
2024;12:30;Empoli;Lazio;0-1;4.43;3.48;1.83
2024;20:45;Inter;Verona;1-0;1.43;4.40;7.40
2024;18:00;Lecce;Napoli;0-1;7.23;4.01;1.49
2024;15:00;Cagliari;Udinese;1-2;2.53;2.88;3.17
2024;15:00;Parma;Como;0-1;3.28;3.31;2.20
2024;20:45;Torino;Venezia;1-1;2.48;2.98;3.10
2024;20:45;Lazio;Parma;2-2;1.38;4.83;7.86
2024;20:45;Verona;Cagliari;0-2;2.41;2.60;3.78
2024;18:30;Udinese;Bologna;0-0;5.06;3.45;1.75
2024;20:45;Atalanta;Lecce;1-1;1.25;5.91;11.21
2024;20:45;Napoli;Torino;2-0;1.35;4.65;9.40
2024;18:00;Juventus;Monza;2-0;1.21;6.67;13.15
2024;15:00;Fiorentina;Empoli;2-1;2.05;3.13;3.99
2024;15:00;Inter;Roma;0-1;1.75;3.68;4.60
2024;12:30;Como;Genoa;1-0;1.77;3.56;4.66
2024;12:30;Venezia;Milan;0-2;5.05;4.11;1.62
2023;18:00;Atalanta;Fiorentina;2-3;1.57;4.38;5.23
2023;20:45;Empoli;Roma;2-1;2.17;3.54;3.13
2023;20:45;Frosinone;Udinese;0-1;2.51;3.02;3.00
2023;20:45;Lazio;Sassuolo;1-1;1.31;5.45;8.83
