name,role,age,market_value,squadra,stagione
Wojciech Szczesny,"Wojciech Szczesny            




            Portiere",18/apr/1990 (32),"15,00 mln €",Juventus FC,2021
Mattia Perin,"Mattia Perin            




            Portiere",10/nov/1992 (29),"4,00 mln €",Juventus FC,2021
Franco Israel,"Franco Israel            




            Portiere",22/apr/2000 (22),"1,00 mln €",Juventus FC,2021
Carlo Pinsoglio,"Carlo Pinsoglio            




            Portiere",16/mar/1990 (32),400 mila €,Juventus FC,2021
Zsombor Senkó,"Zsombor Senkó            




            Portiere",04/gen/2003 (19),200 mila €,Juventus FC,2021
Marco Raina,"Marco Raina            




            Portiere",25/mag/2002 (20),50 mila €,Juventus FC,2021
Matthijs de Ligt,"Matthijs de Ligt            




            Difensore centrale",12/ago/1999 (22),"70,00 mln €",Juventus FC,2021
Danilo,"Danilo            




            Difensore centrale",15/lug/1991 (30),"13,00 mln €",Juventus FC,2021
Leonardo Bonucci,"Leonardo Bonucci            




            Difensore centrale",01/mag/1987 (35),"6,00 mln €",Juventus FC,2021
Daniele Rugani,"Daniele Rugani            




            Difensore centrale",29/lug/1994 (27),"3,50 mln €",Juventus FC,2021
Koni De Winter,"Koni De Winter            




            Difensore centrale",12/giu/2002 (20),"2,20 mln €",Juventus FC,2021
Giorgio Chiellini,"Giorgio Chiellini            




            Difensore centrale",14/ago/1984 (37),"1,50 mln €",Juventus FC,2021
Diego Stramaccioni,"Diego Stramaccioni            




            Difensore centrale",02/gen/2001 (21),350 mila €,Juventus FC,2021
Luca Pellegrini,"Luca Pellegrini            




            Terzino sinistro",07/mar/1999 (23),"9,00 mln €",Juventus FC,2021
Alex Sandro,"Alex Sandro            




            Terzino sinistro",26/gen/1991 (31),"6,00 mln €",Juventus FC,2021
Mattia De Sciglio,"Mattia De Sciglio            




            Terzino destro",20/ott/1992 (29),"6,00 mln €",Juventus FC,2021
Manuel Locatelli,"Manuel Locatelli  




            Mediano",08/gen/1998 (24),"35,00 mln €",Juventus FC,2021
Rodrigo Bentancur,"Rodrigo Bentancur            




            Mediano",25/giu/1997 (25),"28,00 mln €",Juventus FC,2021
Denis Zakaria,"Denis Zakaria            




            Mediano",20/nov/1996 (25),"27,00 mln €",Juventus FC,2021
Arthur Melo,"Arthur Melo            




            Mediano",12/ago/1996 (25),"18,00 mln €",Juventus FC,2021
Martin Palumbo,"Martin Palumbo            




            Mediano",05/mar/2002 (20),700 mila €,Juventus FC,2021
Weston McKennie,"Weston McKennie            




            Centrale",28/ago/1998 (23),"25,00 mln €",Juventus FC,2021
Adrien Rabiot,"Adrien Rabiot            




            Centrale",03/apr/1995 (27),"17,00 mln €",Juventus FC,2021
Nicolò Fagioli,"Nicolò Fagioli            




            Centrale",12/feb/2001 (21),"6,50 mln €",Juventus FC,2021
Fabio Miretti,"Fabio Miretti            




            Centrale",03/ago/2003 (18),"5,00 mln €",Juventus FC,2021
Aaron Ramsey,"Aaron Ramsey  




            Centrale",26/dic/1990 (31),"3,00 mln €",Juventus FC,2021
Filippo Ranocchia,"Filippo Ranocchia            




            Centrale",14/mag/2001 (21),"1,80 mln €",Juventus FC,2021
Hans Nicolussi Caviglia,"Hans Nicolussi Caviglia  




            Centrale",18/giu/2000 (22),900 mila €,Juventus FC,2021
Emanuele Zuelli,"Emanuele Zuelli            




            Centrale",22/nov/2001 (20),700 mila €,Juventus FC,2021
Juan Cuadrado,"Juan Cuadrado  




            Centrocampista di destra",26/mag/1988 (34),"8,00 mln €",Juventus FC,2021
Dejan Kulusevski,"Dejan Kulusevski  




            Trequartista",25/apr/2000 (22),"40,00 mln €",Juventus FC,2021
Marley Aké,"Marley Aké            




            Ala sinistra",05/gen/2001 (21),"2,50 mln €",Juventus FC,2021
Samuel Iling-Junior,"Samuel Iling-Junior            




            Ala sinistra",04/ott/2003 (18),700 mila €,Juventus FC,2021
Federico Chiesa,"Federico Chiesa            




            Ala destra",25/ott/1997 (24),"65,00 mln €",Juventus FC,2021
Federico Bernardeschi,"Federico Bernardeschi            




            Ala destra",16/feb/1994 (28),"10,00 mln €",Juventus FC,2021
Matías Soulé,"Matías Soulé            




            Ala destra",15/apr/2003 (19),"2,50 mln €",Juventus FC,2021
Paulo Dybala,"Paulo Dybala  




            Seconda punta",15/nov/1993 (28),"35,00 mln €",Juventus FC,2021
Dušan Vlahović,"Dušan Vlahović            




            Punta centrale",28/gen/2000 (22),"85,00 mln €",Juventus FC,2021
Cristiano Ronaldo,"Cristiano Ronaldo            




            Punta centrale",05/feb/1985 (37),"30,00 mln €",Juventus FC,2021
Álvaro Morata,"Álvaro Morata            




            Punta centrale",23/ott/1992 (29),"25,00 mln €",Juventus FC,2021
Moise Kean,"Moise Kean            




            Punta centrale",28/feb/2000 (22),"24,00 mln €",Juventus FC,2021
Kaio Jorge,"Kaio Jorge            




            Punta centrale",24/gen/2002 (20),"7,00 mln €",Juventus FC,2021
Cosimo da Graça,"Cosimo da Graça            




            Punta centrale",01/mag/2002 (20),"1,00 mln €",Juventus FC,2021
Andrei Radu,"Andrei Radu            




            Portiere",28/mag/1997 (25),"3,50 mln €",Inter,2021
Samir Handanovič,"Samir Handanovič            




            Portiere",14/lug/1984 (37),"2,00 mln €",Inter,2021
Alex Cordaz,"Alex Cordaz            




            Portiere",01/gen/1983 (39),400 mila €,Inter,2021
William Rovida,"William Rovida            




            Portiere",14/mar/2003 (19),200 mila €,Inter,2021
Milan Škriniar,"Milan Škriniar            




            Difensore centrale",11/feb/1995 (27),"65,00 mln €",Inter,2021
Alessandro Bastoni,"Alessandro Bastoni  




            Difensore centrale",13/apr/1999 (23),"60,00 mln €",Inter,2021
Stefan de Vrij,"Stefan de Vrij  




            Difensore centrale",05/feb/1992 (30),"28,00 mln €",Inter,2021
Danilo D'Ambrosio,"Danilo D'Ambrosio            




            Difensore centrale",09/set/1988 (33),"3,00 mln €",Inter,2021
Andrea Ranocchia,"Andrea Ranocchia            




            Difensore centrale",16/feb/1988 (34),800 mila €,Inter,2021
Fabio Cortinovis,"Fabio Cortinovis  




            Difensore centrale",20/apr/2002 (20),50 mila €,Inter,2021
Robin Gosens,"Robin Gosens            




            Terzino sinistro",05/lug/1994 (27),"28,00 mln €",Inter,2021
Federico Dimarco,"Federico Dimarco  




            Terzino sinistro",10/nov/1997 (24),"18,00 mln €",Inter,2021
Franco Carboni,"Franco Carboni            




            Terzino sinistro",04/apr/2003 (19),"1,00 mln €",Inter,2021
Aleksandar Kolarov,"Aleksandar Kolarov            




            Terzino sinistro",10/nov/1985 (36),500 mila €,Inter,2021
