Name,Role,Market Value,Squadra
Yann Sommer,"Yann Sommer            




            Portiere","5,00 mln €",Inter
Emil Audero,"Emil Audero            




            Portiere","5,00 mln €",Inter
Raffaele Di Gennaro,"Raffaele Di Gennaro  




            Portiere",300 mila €,Inter
Alessandro Calligaris,"Alessandro Calligaris            




            Portiere",150 mila €,Inter
Alessandro Bastoni,"Alessandro Bastoni            




            Difensore centrale","70,00 mln €",Inter
Benjamin Pavard,"Benjamin Pavard  




            Difensore centrale","50,00 mln €",Inter
Yann Bisseck,"Yann Bisseck            




            Difensore centrale","16,00 mln €",Inter
Stefan de Vrij,"Stefan de Vrij            




            Difensore centrale","7,00 mln €",Inter
Francesco Acerbi,"Francesco Acerbi  




            Difensore centrale","3,50 mln €",Inter
Giacomo Stabile,"Giacomo Stabile            




            Difensore centrale",50 mila €,Inter
Federico Dimarco,"Federico Dimarco            




            Terzino sinistro","50,00 mln €",Inter
Carlos Augusto,"Carlos Augusto            




            Terzino sinistro","22,00 mln €",Inter
Matteo Motta,"Matteo Motta            




            Terzino sinistro",100 mila €,Inter
Denzel Dumfries,"Denzel Dumfries            




            Terzino destro","24,00 mln €",Inter
Matteo Darmian,"Matteo Darmian  




            Terzino destro","4,00 mln €",Inter
Hakan Çalhanoğlu,"Hakan Çalhanoğlu            




            Mediano","45,00 mln €",Inter
Kristjan Asllani,"Kristjan Asllani            




            Mediano","18,00 mln €",Inter
Lucien Agoumé,"Lucien Agoumé            




            Mediano","6,00 mln €",Inter
Aleksandar Stankovic,"Aleksandar Stankovic            




            Mediano","1,00 mln €",Inter
Nicolò Barella,"Nicolò Barella            




            Centrale","80,00 mln €",Inter
Davide Frattesi,"Davide Frattesi            




            Centrale","35,00 mln €",Inter
Henrikh Mkhitaryan,"Henrikh Mkhitaryan            




            Centrale","6,00 mln €",Inter
Davy Klaassen,"Davy Klaassen  




            Centrale","4,00 mln €",Inter
Stefano Sensi,"Stefano Sensi            




            Centrale","3,00 mln €",Inter
Ebenezer Akinsanmiro,"Ebenezer Akinsanmiro            




            Centrale","1,80 mln €",Inter
Tajon Buchanan,"Tajon Buchanan            




            Centrocampista di destra","8,00 mln €",Inter
Juan Cuadrado,"Juan Cuadrado  




            Centrocampista di destra","1,00 mln €",Inter
Tommaso Guercio,"Tommaso Guercio            




            Centrocampista di sinistra",300 mila €,Inter
Issiaka Kamate,"Issiaka Kamate            




            Ala destra","1,00 mln €",Inter
Joaquín Correa,"Joaquín Correa            




            Seconda punta","6,00 mln €",Inter
Lautaro Martínez,"Lautaro Martínez  




            Punta centrale","110,00 mln €",Inter
