id,season,name,date_of_birth,nationality,team_id,team,goals,assist,penalties
3220,2023,Lautaro Martínez,1997-08-22,Argentina,108,FC Internazionale Milano,24,5,2.0
82002,2023,Dušan Vlahović,2000-01-28,Serbia,109,Juventus FC,16,3,2.0
9434,2023,Victor Osimhen,1998-12-29,Nigeria,113,SSC Napoli,15,4,3.0
3371,2023,Olivier Giroud,1986-09-30,France,98,AC Milan,15,7,4.0
3851,2023,Albert Guðmundsson,1997-06-15,Iceland,107,Genoa CFC,14,5,4.0
2271,2023,Duván Zapata,1991-04-01,Colombia,586,Torino FC,13,5,
8685,2023,Marcus Thuram-Ulien,1997-08-06,France,108,FC Internazionale Milano,13,8,
1754,2023,Hakan Çalhanoğlu,1994-02-08,Turkey,108,FC Internazionale Milano,13,3,10.0
2046,2023,Paulo Dybala,1993-11-15,Argentina,100,AS Roma,13,8,7.0
3662,2023,Romelu Lukaku,1993-05-13,Belgium,100,AS Roma,13,3,
11710,2024,Mateo Retegui,1999-04-29,Italy,102,Atalanta BC,22,3,3.0
2171,2024,Moise Kean,2000-02-28,Italy,99,ACF Fiorentina,15,2,1.0
8685,2024,Marcus Thuram-Ulien,1997-08-06,France,108,FC Internazionale Milano,13,5,
9554,2024,Ademola Lookman,1997-10-20,Nigeria,102,Atalanta BC,13,4,1.0
3220,2024,Lautaro Martínez,1997-08-22,Argentina,108,FC Internazionale Milano,11,3,
1886,2024,Riccardo Orsolini,1997-01-24,Italy,103,Bologna FC 1909,10,3,3.0
40305,2024,Lorenzo Lucca,2000-09-10,Italy,115,Udinese Calcio,10,1,1.0
120679,2024,Nikola Krstović,2000-04-05,Montenegro,5890,US Lecce,10,3,2.0
3662,2024,Romelu Lukaku,1993-05-13,Belgium,113,SSC Napoli,10,8,3.0
24217,2024,Artem Dovbyk,1997-06-21,Ukraine,100,AS Roma,10,3,2.0
