season;matchweek;home_team;away_team;goal_result;scorer;minute
2021;1;Verona;Sassuolo;0:1;Giacomo Raspadori;32
2021;1;Verona;Sassuolo;0:2;Filip Djuricic;51
2021;1;Verona;Sassuolo;1:2;Mattia Zaccagni;71
2021;1;Verona;Sassuolo;1:3;Hamed Junior Traoré;77
2021;1;Verona;Sassuolo;2:3;Mattia Zaccagni;90
2021;1;Inter;Genoa;1:0;Milan Škriniar;6
2021;1;Inter;Genoa;2:0;Hakan Çalhanoğlu;14
2021;1;Inter;Genoa;3:0;Arturo Vidal;74
2021;1;Inter;Genoa;4:0;Edin Džeko;87
2021;1;Empoli;Lazio;1:0;Filippo Bandinelli;4
2021;1;Empoli;Lazio;1:1;Sergej Milinković-Savić;6
2021;1;Empoli;Lazio;1:2;Manuel Lazzari;31
2021;1;Empoli;Lazio;1:3;Ciro Immobile;41
2021;1;Torino;Atalanta;0:1;Luis Muriel;6
2021;1;Torino;Atalanta;1:1;Andrea Belotti;79
2021;1;Torino;Atalanta;1:2;Roberto Piccoli;90
2021;1;Bologna;Salernitana;0:1;Federico Bonazzoli;52
2021;1;Bologna;Salernitana;1:1;Lorenzo De Silvestri;59
2021;1;Bologna;Salernitana;1:2;Mamadou Coulibaly;70
2021;1;Bologna;Salernitana;2:2;Marko Arnautovic;74
2021;1;Bologna;Salernitana;3:2;Lorenzo De Silvestri;77
2021;1;Udinese;Juventus;0:1;Paulo Dybala;3
2021;1;Udinese;Juventus;0:2;Juan Cuadrado;23
2021;1;Udinese;Juventus;1:2;Roberto Pereyra;51
2021;1;Udinese;Juventus;2:2;Gerard Deulofeu;83
2021;1;Napoli;Venezia;1:0;Lorenzo Insigne;62
2021;1;Napoli;Venezia;2:0;Eljif Elmas;72
2021;1;Roma;Fiorentina;1:0;Henrikh Mkhitaryan;26
2021;1;Roma;Fiorentina;1:1;Nikola Milenković;60
2021;1;Roma;Fiorentina;2:1;Jordan Veretout;64
2021;1;Roma;Fiorentina;3:1;Jordan Veretout;79
2021;1;Cagliari;Spezia;0:1;Emmanuel Gyasi;7
2021;1;Cagliari;Spezia;0:2;Simone Bastoni;58
2021;1;Cagliari;Spezia;1:2;João Pedro;62
2021;1;Cagliari;Spezia;2:2;João Pedro;66
2021;1;Sampdoria;Milan;0:1;Brahim Díaz;9
2021;2;Udinese;Venezia;1:0;Ignacio Pussetto;29
2021;2;Udinese;Venezia;2:0;Gerard Deulofeu;70
2021;2;Udinese;Venezia;3:0;Nahuel Molina;90
2021;2;Verona;Inter;1:0;Ivan Ilić;15
2021;2;Verona;Inter;1:1;Lautaro Martínez;47
2021;2;Verona;Inter;1:2;Joaquín Correa;83
2021;2;Verona;Inter;1:3;Joaquín Correa;90
2021;2;Lazio;Spezia;0:1;Daniele Verde;4
2021;2;Lazio;Spezia;1:1;Ciro Immobile;5
2021;2;Lazio;Spezia;2:1;Ciro Immobile;15
2021;2;Lazio;Spezia;3:1;Ciro Immobile;45
2021;2;Lazio;Spezia;4:1;Felipe Anderson;47
2021;2;Lazio;Spezia;5:1;Elseid Hysaj;70
2021;2;Lazio;Spezia;6:1;Luis Alberto;85
2021;2;Fiorentina;Torino;1:0;Nico González;41
2021;2;Fiorentina;Torino;2:0;Dušan Vlahović;69
2021;2;Fiorentina;Torino;2:1;Simone Verdi;89
2021;2;Juventus;Empoli;0:1;Leonardo Mancuso;21
2021;2;Genoa;Napoli;0:1;Fabián Ruiz;39
2021;2;Genoa;Napoli;1:1;Andrea Cambiaso;69
2021;2;Genoa;Napoli;1:2;Andrea Petagna;84
2021;2;Milan;Cagliari;1:0;Sandro Tonali;12
