anno;giornata;partita;link
2024;1;Lazio - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373911
2024;2;Fiorentina - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373916
2024;3;Venezia FC - Torino;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373934
2024;4;Milan - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373941
2024;5;Venezia FC - Genoa;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373954
2024;6;Roma - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373962
2024;7;Verona - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373968
2024;8;Venezia FC - Atalanta;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373984
2024;9;Monza - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4373990
2024;10;Venezia FC - Udinese;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374004
2024;11;Inter - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374008
2024;12;Venezia FC - Parma;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374024
2024;13;Venezia FC - Lecce;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374034
2024;14;Bologna - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374035
2024;15;Venezia FC - Como;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374054
2024;16;Juventus - Venezia FC;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374059
2024;17;Venezia FC - Cagliari;https://www.transfermarkt.it/spielbericht/index/spielbericht/4374074
