giornata;scorer;details
1;Alessandro Vogliacco;Alessandro Vogliacco, Destro, 1° gol stagionaleAssist: Senza assist
1;Marcus Thuram;Marcus Thuram, Colpo di testa, 1° gol stagionaleAssist:Nicolò Barella, Cross, 1° assist stagionale
1;Marcus Thuram;Marcus Thuram, Destro, 2° gol stagionaleAssist:Davide Frattesi, Passaggio, 1° assist stagionale
1;Junior Messias;Junior Messias, Ribatutta dopo rigore, 1° gol stagionaleAssist: Senza assist
2;Matteo Darmian;Matteo Darmian, Colpo di testa, 1° gol stagionaleAssist:Mehdi Taremi, Colpo di testa, 1° assist stagionale
2;Hakan Çalhanoğlu;Hakan Çalhanoğlu, Rigore, 1° gol stagionaleAssist:Marcus Thuram, Rigore: fallo ai danni di
3;Berat Djimsiti;Berat Djimsiti, AutoreteAssist:Marcus Thuram, Passaggio, 2° assist stagionale
3;Nicolò Barella;Nicolò Barella, Sinistro, 1° gol stagionaleAssist:Benjamin Pavard, Colpo di testa, 1° assist stagionale
3;Marcus Thuram;Marcus Thuram, Destro, 3° gol stagionaleAssist: Senza assist
3;Marcus Thuram;Marcus Thuram, Destro, 4° gol stagionaleAssist:Henrikh Mkhitaryan, Colpo di testa, 1° assist stagionale
4;Dany Mota;Dany Mota, Colpo di testa, 1° gol stagionaleAssist:Armando Izzo, Cross, 1° assist stagionale
4;Denzel Dumfries;Denzel Dumfries, Destro, 1° gol stagionaleAssist:Carlos Augusto, Cross, 1° assist stagionale
5;Christian Pulisic;Christian Pulisic, Azione personale, 3° gol stagionaleAssist: Senza assist
5;Federico Dimarco;Federico Dimarco, Sinistro, 1° gol stagionaleAssist:Lautaro Martínez, Passaggio, 1° assist stagionale
5;Matteo Gabbia;Matteo Gabbia, Colpo di testa, 1° gol stagionaleAssist:Tijjani Reijnders, Punizione, 2° assist stagionale
6;Davide Frattesi;Davide Frattesi, Destro, 1° gol stagionaleAssist:Matteo Darmian, Passaggio, 1° assist stagionale
6;Christian Kabasele;Christian Kabasele, Colpo di testa, 1° gol stagionaleAssist:Jordan Zemura, Corner, 1° assist stagionale
6;Lautaro Martínez;Lautaro Martínez, Sinistro, 1° gol stagionaleAssist:Federico Dimarco, Cross, 1° assist stagionale
6;Lautaro Martínez;Lautaro Martínez, Destro, 2° gol stagionaleAssist:Marcus Thuram, Passaggio, 3° assist stagionale
6;Lorenzo Lucca;Lorenzo Lucca, Destro, 3° gol stagionaleAssist:Brenner, Passaggio, 2° assist stagionale
7;Marcus Thuram;Marcus Thuram, Colpo di testa, 5° gol stagionaleAssist:Alessandro Bastoni, Cross, 1° assist stagionale
7;Marcus Thuram;Marcus Thuram, Colpo di testa, 6° gol stagionaleAssist:Francesco Acerbi, Cross, 1° assist stagionale
7;Duván Zapata;Duván Zapata, Destro, 3° gol stagionaleAssist:Gvidas Gineitis, Passaggio, 1° assist stagionale
7;Marcus Thuram;Marcus Thuram, Destro, 7° gol stagionaleAssist:Lautaro Martínez, Tiro in porta, 2° assist stagionale
7;Nikola Vlašić;Nikola Vlašić, Rigore, 1° gol stagionaleAssist:Adam Masina, Rigore: fallo ai danni di
8;Lautaro Martínez;Lautaro Martínez, Destro, 3° gol stagionaleAssist: Senza assist
9;Piotr Zieliński;Piotr Zieliński, Rigore, 1° gol stagionaleAssist:Marcus Thuram, Rigore: fallo ai danni di
9;Dušan Vlahović;Dušan Vlahović, Sinistro, 6° gol stagionaleAssist:Weston McKennie, Passaggio, 1° assist stagionale
9;Timothy Weah;Timothy Weah, Destro, 2° gol stagionaleAssist:Francisco Conceição, Passaggio, 1° assist stagionale
9;Henrikh Mkhitaryan;Henrikh Mkhitaryan, Sinistro, 1° gol stagionaleAssist:Marcus Thuram, Passaggio, 5° assist stagionale
9;Piotr Zieliński;Piotr Zieliński, Rigore, 2° gol stagionaleAssist:Denzel Dumfries, Rigore: fallo ai danni di
9;Denzel Dumfries;Denzel Dumfries, Destro, 2° gol stagionaleAssist: Senza assist
9;Kenan Yıldız;Kenan Yıldız, Sinistro, 1° gol stagionaleAssist:Weston McKennie, Passaggio, 2° assist stagionale
9;Kenan Yıldız;Kenan Yıldız, Sinistro, 2° gol stagionaleAssist: Senza assist
10;Davide Frattesi;Davide Frattesi, Sinistro, 2° gol stagionaleAssist:Matteo Darmian, Colpo di testa, 2° assist stagionale
10;Davide Frattesi;Davide Frattesi, Destro, 3° gol stagionaleAssist:Lautaro Martínez, Passaggio, 3° assist stagionale
10;Lautaro Martínez;Lautaro Martínez, Sinistro, 4° gol stagionaleAssist:Nicolò Barella, Passaggio, 2° assist stagionale
11;Lautaro Martínez;Lautaro Martínez, Colpo di testa, 5° gol stagionaleAssist:Federico Dimarco, Cross, 2° assist stagionale
12;Scott McTominay;Scott McTominay, Destro, 2° gol stagionaleAssist:Amir Rrahmani, Passaggio, 2° assist stagionale
12;Hakan Çalhanoğlu;Hakan Çalhanoğlu, Destro, 2° gol stagionaleAssist:Alessandro Bastoni, Passaggio, 2° assist stagionale
13;Joaquín Correa;Joaquín Correa, Destro, 1° gol stagionaleAssist:Marcus Thuram, Passaggio, 6° assist stagionale
13;Marcus Thuram;Marcus Thuram, Destro, 8° gol stagionaleAssist:Joaquín Correa, Passaggio, 1° assist stagionale
13;Marcus Thuram;Marcus Thuram, Destro, 9° gol stagionaleAssist:Alessandro Bastoni, Passaggio, 3° assist stagionale
13;Stefan de Vrij;Stefan de Vrij, Destro, 1° gol stagionaleAssist:Kristjan Asllani, Corner, 1° assist stagionale
13;Yann Bisseck;Yann Bisseck, Destro, 1° gol stagionaleAssist:Joaquín Correa, Passaggio, 2° assist stagionale
15;Federico Dimarco;Federico Dimarco, Destro, 2° gol stagionaleAssist:Henrikh Mkhitaryan, Passaggio, 2° assist stagionale
15;Nicolò Barella;Nicolò Barella, Destro, 2° gol stagionaleAssist:Henrikh Mkhitaryan, Passaggio, 3° assist stagionale
15;Marcus Thuram;Marcus Thuram, Destro, 10° gol stagionaleAssist:Yann Bisseck, Passaggio, 1° assist stagionale
15;Matteo Darmian;Matteo Darmian, AutoreteAssist: Senza assist
16;Hakan Çalhanoğlu;Hakan Çalhanoğlu, Rigore, 3° gol stagionaleAssist: Rigore: mani diSamuel Gigot
16;Federico Dimarco;Federico Dimarco, Sinistro, 3° gol stagionaleAssist:Denzel Dumfries, Cross, 2° assist stagionale
16;Nicolò Barella;Nicolò Barella, Tiro dalla distanza, 3° gol stagionaleAssist:Hakan Çalhanoğlu, Passaggio, 1° assist stagionale
16;Denzel Dumfries;Denzel Dumfries, Colpo di testa, 3° gol stagionaleAssist:Alessandro Bastoni, Cross, 4° assist stagionale
16;Carlos Augusto;Carlos Augusto, Sinistro, 1° gol stagionaleAssist:Federico Dimarco, Passaggio, 3° assist stagionale
16;Marcus Thuram;Marcus Thuram, Destro, 11° gol stagionaleAssist:Henrikh Mkhitaryan, Passaggio, 4° assist stagionale
17;Carlos Augusto;Carlos Augusto, Colpo di testa, 2° gol stagionaleAssist:Hakan Çalhanoğlu, Corner, 2° assist stagionale
17;Marcus Thuram;Marcus Thuram, Destro, 12° gol stagionaleAssist:Piotr Zieliński, Passaggio, 1° assist stagionale
1;Samuel Mbangula;Samuel Mbangula, Destro, 1° gol stagionaleAssist:Timothy Weah, Passaggio, 1° assist stagionale
1;Timothy Weah;Timothy Weah, Sinistro, 1° gol stagionaleAssist:Kenan Yıldız, Passaggio, 1° assist stagionale
1;Andrea Cambiaso;Andrea Cambiaso, Sinistro, 1° gol stagionaleAssist:Samuel Mbangula, Passaggio, 1° assist stagionale
2;Dušan Vlahović;Dušan Vlahović, Sinistro, 1° gol stagionaleAssist:Kenan Yıldız, Passaggio, 2° assist stagionale
2;Nicolò Savona;Nicolò Savona, Colpo di testa, 1° gol stagionaleAssist:Samuel Mbangula, Cross, 2° assist stagionale
2;Dušan Vlahović;Dušan Vlahović, Rigore, 2° gol stagionaleAssist:Samuel Mbangula, Rigore: fallo ai danni di
3;NAN;NAN
4;NAN;NAN
5;NAN;NAN
6;Dušan Vlahović;Dušan Vlahović, Rigore, 3° gol stagionaleAssist: Rigore: mani diKoni De Winter
6;Dušan Vlahović;Dušan Vlahović, Sinistro, 4° gol stagionaleAssist:Teun Koopmeiners, Passaggio, 1° assist stagionale
6;Francisco Conceição;Francisco Conceição, Sinistro, 1° gol stagionaleAssist:Khéphren Thuram, Passaggio, 1° assist stagionale
7;Dušan Vlahović;Dušan Vlahović, Rigore, 5° gol stagionaleAssist: Rigore: mani diSebastiano Luperto
7;Răzvan Marin;Răzvan Marin, Rigore, 2° gol stagionaleAssist:Roberto Piccoli, Rigore: fallo ai danni di
8;Mario Gila;Mario Gila, AutoreteAssist:Juan Cabal, Cross, 1° assist stagionale
9;Piotr Zieliński;Piotr Zieliński, Rigore, 1° gol stagionaleAssist:Marcus Thuram, Rigore: fallo ai danni di
9;Dušan Vlahović;Dušan Vlahović, Sinistro, 6° gol stagionaleAssist:Weston McKennie, Passaggio, 1° assist stagionale
9;Timothy Weah;Timothy Weah, Destro, 2° gol stagionaleAssist:Francisco Conceição, Passaggio, 1° assist stagionale
9;Henrikh Mkhitaryan;Henrikh Mkhitaryan, Sinistro, 1° gol stagionaleAssist:Marcus Thuram, Passaggio, 5° assist stagionale
9;Piotr Zieliński;Piotr Zieliński, Rigore, 2° gol stagionaleAssist:Denzel Dumfries, Rigore: fallo ai danni di
9;Denzel Dumfries;Denzel Dumfries, Destro, 2° gol stagionaleAssist: Senza assist
9;Kenan Yıldız;Kenan Yıldız, Sinistro, 1° gol stagionaleAssist:Weston McKennie, Passaggio, 2° assist stagionale
9;Kenan Yıldız;Kenan Yıldız, Sinistro, 2° gol stagionaleAssist: Senza assist
10;Enrico Delprato;Enrico Delprato, Colpo di testa, 2° gol stagionaleAssist:Botond Balogh, Colpo di testa, 1° assist stagionale
10;Weston McKennie;Weston McKennie, Colpo di testa, 1° gol stagionaleAssist:Timothy Weah, Cross, 2° assist stagionale
10;Simon Sohm;Simon Sohm, Destro, 1° gol stagionaleAssist:Dennis Man, Passaggio, 2° assist stagionale
10;Timothy Weah;Timothy Weah, Sinistro, 3° gol stagionaleAssist:Francisco Conceição, Passaggio, 2° assist stagionale
11;Maduka Okoye;Maduka Okoye, AutoreteAssist:Khéphren Thuram, Tiro in porta, 2° assist stagionale
11;Nicolò Savona;Nicolò Savona, Sinistro, 2° gol stagionaleAssist:Kenan Yıldız, Tiro in porta, 3° assist stagionale
12;Timothy Weah;Timothy Weah, Destro, 4° gol stagionaleAssist:Andrea Cambiaso, Tiro in porta, 1° assist stagionale
12;Kenan Yıldız;Kenan Yıldız, Colpo di testa, 3° gol stagionaleAssist:Francisco Conceição, Cross, 3° assist stagionale
13;NAN;NAN
14;Andrea Cambiaso;Andrea Cambiaso, Tiro deviato, 2° gol stagionaleAssist:Teun Koopmeiners, Passaggio, 2° assist stagionale
14;Ante Rebić;Ante Rebić, Azione in contropiede, 1° gol stagionaleAssist:Nikola Krstović, Cross, 1° assist stagionale
15;Dan Ndoye;Dan Ndoye, Destro, 3° gol stagionaleAssist:Emil Holm, Passaggio, 1° assist stagionale
15;Tommaso Pobega;Tommaso Pobega, Sinistro, 1° gol stagionaleAssist:Santiago Castro, Passaggio, 3° assist stagionale
15;Teun Koopmeiners;Teun Koopmeiners, Sinistro, 1° gol stagionaleAssist:Danilo, Passaggio, 1° assist stagionale
15;Samuel Mbangula;Samuel Mbangula, Destro, 2° gol stagionaleAssist:Dušan Vlahović, Passaggio, 1° assist stagionale
16;Federico Gatti;Federico Gatti, Destro, 1° gol stagionaleAssist:Khéphren Thuram, Colpo di testa, 3° assist stagionale
16;Mikael Egill Ellertsson;Mikael Egill Ellertsson, Colpo di testa, 2° gol stagionaleAssist:Francesco Zampano, Cross, 2° assist stagionale
16;Jay Idzes;Jay Idzes, Colpo di testa, 1° gol stagionaleAssist:Hans Nicolussi Caviglia, Punizione, 2° assist stagionale
16;Dušan Vlahović;Dušan Vlahović, Rigore, 7° gol stagionaleAssist: Rigore: mani diAntonio Candela
17;Weston McKennie;Weston McKennie, Destro, 2° gol stagionaleAssist:Teun Koopmeiners, Corner, 3° assist stagionale
17;Samuele Birindelli;Samuele Birindelli, Sinistro, 1° gol stagionaleAssist:Andrea Carboni, Cross, 1° assist stagionale
17;Nico González;Nico González, Destro, 1° gol stagionaleAssist:Manuel Locatelli, Passaggio, 1° assist stagionale
1;Malick Thiaw;Malick Thiaw, AutoreteAssist:Raoul Bellanova, Colpo di testa, 1° assist stagionale
1;Duván Zapata;Duván Zapata, Colpo di testa, 1° gol stagionaleAssist:Valentino Lazaro, Cross, 1° assist stagionale
1;Álvaro Morata;Álvaro Morata, Destro, 1° gol stagionaleAssist:Tijjani Reijnders, Tiro in porta, 1° assist stagionale
1;Noah Okafor;Noah Okafor, Destro, 1° gol stagionaleAssist:Yunus Musah, Cross, 1° assist stagionale
2;Dennis Man;Dennis Man, Sinistro, 2° gol stagionaleAssist:Emanuele Valeri, Passaggio, 1° assist stagionale
2;Christian Pulisic;Christian Pulisic, Destro, 1° gol stagionaleAssist:Rafael Leão, Passaggio, 1° assist stagionale
2;Matteo Cancellieri;Matteo Cancellieri, Destro, 1° gol stagionaleAssist:Pontus Almqvist, Passaggio, 1° assist stagionale
3;Strahinja Pavlović;Strahinja Pavlović, Colpo di testa, 1° gol stagionaleAssist:Christian Pulisic, Corner, 1° assist stagionale
3;Taty Castellanos;Taty Castellanos, Destro, 2° gol stagionaleAssist:Nuno Tavares, Cross, 1° assist stagionale
3;Boulaye Dia;Boulaye Dia, Destro, 1° gol stagionaleAssist:Nuno Tavares, Passaggio, 2° assist stagionale
3;Rafael Leão;Rafael Leão, Destro, 1° gol stagionaleAssist:Tammy Abraham, Passaggio, 1° assist stagionale
4;Theo Hernández;Theo Hernández, Sinistro, 1° gol stagionaleAssist:Rafael Leão, Passaggio, 2° assist stagionale
4;Youssouf Fofana;Youssouf Fofana, Colpo di testa, 1° gol stagionaleAssist:Christian Pulisic, Corner, 2° assist stagionale
4;Christian Pulisic;Christian Pulisic, Rigore, 2° gol stagionaleAssist:Tammy Abraham, Rigore: fallo ai danni di
4;Tammy Abraham;Tammy Abraham, Rigore, 1° gol stagionaleAssist:Rafael Leão, Rigore: fallo ai danni di
5;Christian Pulisic;Christian Pulisic, Azione personale, 3° gol stagionaleAssist: Senza assist
5;Federico Dimarco;Federico Dimarco, Sinistro, 1° gol stagionaleAssist:Lautaro Martínez, Passaggio, 1° assist stagionale
5;Matteo Gabbia;Matteo Gabbia, Colpo di testa, 1° gol stagionaleAssist:Tijjani Reijnders, Punizione, 2° assist stagionale
6;Álvaro Morata;Álvaro Morata, Colpo di testa, 2° gol stagionaleAssist:Theo Hernández, Punizione, 1° assist stagionale
6;Theo Hernández;Theo Hernández, Sinistro, 2° gol stagionaleAssist:Rafael Leão, Passaggio, 4° assist stagionale
6;Christian Pulisic;Christian Pulisic, Sinistro, 4° gol stagionaleAssist: Senza assist
7;Yacine Adli;Yacine Adli, Destro, 1° gol stagionaleAssist:Robin Gosens, Rimessa laterale, 2° assist stagionale
7;Christian Pulisic;Christian Pulisic, Destro, 5° gol stagionaleAssist:Theo Hernández, Cross, 2° assist stagionale
7;Albert Gudmundsson;Albert Gudmundsson, Destro, 3° gol stagionaleAssist:Moise Kean, Passaggio, 1° assist stagionale
8;Samuel Chukwueze;Samuel Chukwueze, Sinistro, 1° gol stagionaleAssist:Christian Pulisic, Passaggio, 3° assist stagionale
10;Romelu Lukaku;Romelu Lukaku, Sinistro, 4° gol stagionaleAssist:Frank Anguissa, Passaggio, 1° assist stagionale
10;Khvicha Kvaratskhelia;Khvicha Kvaratskhelia, Destro, 5° gol stagionaleAssist:Mathías Olivera, Passaggio, 2° assist stagionale
11;Tijjani Reijnders;Tijjani Reijnders, Colpo di testa, 1° gol stagionaleAssist:Álvaro Morata, Tiro in porta, 1° assist stagionale
12;Nadir Zortea;Nadir Zortea, Destro, 2° gol stagionaleAssist:Sebastiano Luperto, Colpo di testa, 3° assist stagionale
12;Rafael Leão;Rafael Leão, Destro, 2° gol stagionaleAssist:Tijjani Reijnders, Passaggio, 3° assist stagionale
12;Rafael Leão;Rafael Leão, Azione in contropiede, 3° gol stagionaleAssist:Youssouf Fofana, Passaggio, 1° assist stagionale
12;Gabriele Zappa;Gabriele Zappa, Destro, 1° gol stagionaleAssist: Senza assist
12;Tammy Abraham;Tammy Abraham, Tap-in, 2° gol stagionaleAssist:Christian Pulisic, Tiro in porta, 4° assist stagionale
12;Gabriele Zappa;Gabriele Zappa, Destro, 2° gol stagionaleAssist:Tommaso Augello, Cross, 1° assist stagionale
13;NAN;NAN
14;Álvaro Morata;Álvaro Morata, Destro, 3° gol stagionaleAssist: Senza assist
14;Tijjani Reijnders;Tijjani Reijnders, Destro, 2° gol stagionaleAssist:Christian Pulisic, Passaggio, 5° assist stagionale
14;Tijjani Reijnders;Tijjani Reijnders, Destro, 3° gol stagionaleAssist:Youssouf Fofana, Passaggio, 2° assist stagionale
15;Charles De Ketelaere;Charles De Ketelaere, Colpo di testa, 3° gol stagionaleAssist:Marten de Roon, Punizione, 1° assist stagionale
15;Álvaro Morata;Álvaro Morata, Destro, 4° gol stagionaleAssist:Rafael Leão, Passaggio, 5° assist stagionale
15;Ademola Lookman;Ademola Lookman, Colpo di testa, 8° gol stagionaleAssist:Sead Kolasinac, Colpo di testa, 1° assist stagionale
16;NAN;NAN
17;Tijjani Reijnders;Tijjani Reijnders, Destro, 4° gol stagionaleAssist:Youssouf Fofana, Passaggio, 3° assist stagionale
1;Marco Brescianini;Marco Brescianini, Destro, 1° gol stagionaleAssist: Senza assist
1;Mateo Retegui;Mateo Retegui, Colpo di testa, 1° gol stagionaleAssist:Matteo Ruggeri, Cross, 1° assist stagionale
1;Mateo Retegui;Mateo Retegui, Rigore, 2° gol stagionaleAssist:Mateo Retegui, Rigore: fallo ai danni di
1;Marco Brescianini;Marco Brescianini, Destro, 2° gol stagionaleAssist:Mario Pasalic, Passaggio, 1° assist stagionale
2;Mateo Retegui;Mateo Retegui, Colpo di testa, 3° gol stagionaleAssist:Davide Zappacosta, Cross, 1° assist stagionale
2;Ivan Ilić;Ivan Ilić, Sinistro, 1° gol stagionaleAssist:Ché Adams, Passaggio, 1° assist stagionale
2;Ché Adams;Ché Adams, Destro, 1° gol stagionaleAssist: Senza assist
3;Berat Djimsiti;Berat Djimsiti, AutoreteAssist:Marcus Thuram, Passaggio, 2° assist stagionale
3;Nicolò Barella;Nicolò Barella, Sinistro, 1° gol stagionaleAssist:Benjamin Pavard, Colpo di testa, 1° assist stagionale
3;Marcus Thuram;Marcus Thuram, Destro, 3° gol stagionaleAssist: Senza assist
3;Marcus Thuram;Marcus Thuram, Destro, 4° gol stagionaleAssist:Henrikh Mkhitaryan, Colpo di testa, 1° assist stagionale
4;Lucas Martínez Quarta;Lucas Martínez Quarta, Sinistro, 1° gol stagionaleAssist: Senza assist
4;Mateo Retegui;Mateo Retegui, Colpo di testa, 4° gol stagionaleAssist:Ademola Lookman, Cross, 1° assist stagionale
4;Moise Kean;Moise Kean, Destro, 2° gol stagionaleAssist:Robin Gosens, Colpo di testa, 1° assist stagionale
4;Charles De Ketelaere;Charles De Ketelaere, Colpo di testa, 1° gol stagionaleAssist:Éderson, Cross, 1° assist stagionale
4;Ademola Lookman;Ademola Lookman, Destro, 1° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 1° assist stagionale
5;Davide Zappacosta;Davide Zappacosta, Destro, 1° gol stagionaleAssist: Senza assist
5;Gabriel Strefezza;Gabriel Strefezza, Destro, 1° gol stagionaleAssist:Sergi Roberto, Passaggio, 1° assist stagionale
5;Sead Kolasinac;Sead Kolasinac, AutoreteAssist:Nico Paz, Tiro in porta, 1° assist stagionale
5;Alieu Fadera;Alieu Fadera, Sinistro, 1° gol stagionaleAssist:Nico Paz, Passaggio, 2° assist stagionale
5;Ademola Lookman;Ademola Lookman, Rigore, 2° gol stagionaleAssist:Vanja Vlahovic, Rigore: fallo ai danni di
6;Santiago Castro;Santiago Castro, Destro, 3° gol stagionaleAssist:Dan Ndoye, Passaggio, 1° assist stagionale
6;Lazar Samardžić;Lazar Samardžić, Sinistro, 1° gol stagionaleAssist:Nicolò Zaniolo, Passaggio, 1° assist stagionale
